X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.377024	7.079535e-06	1.301660e-06	-5.594169e-06	-1.259050e-06	
9.378024	-1.672610e-06	-1.176980e-06	-3.584786e-06	-3.869872e-06	
9.379024	9.498638e-07	-7.052774e-06	1.196807e-06	-2.338743e-07	
9.380024	-1.044642e-06	-8.146839e-06	3.539976e-06	1.597667e-06	
9.381025	-7.286536e-06	-3.766450e-06	6.149040e-06	-1.008590e-06	
9.382025	-7.087735e-06	9.687808e-06	6.488354e-06	-5.656884e-06	
9.383025	-1.005351e-05	1.720273e-05	1.360254e-06	-6.742058e-06	
9.384025	-1.539720e-05	5.948301e-06	2.728250e-06	-3.676539e-06	
9.385025	-1.421194e-05	-4.564580e-06	5.479565e-06	-3.718893e-06	
9.386025	-1.104554e-05	-4.337116e-06	-6.801535e-07	-5.515297e-06	
9.387025	-8.185673e-06	2.028652e-06	-4.769985e-06	-3.775790e-06	
9.388025	-8.867944e-06	1.163942e-05	-2.589439e-06	-1.205336e-06	
9.389025	-1.145350e-05	2.021391e-05	-4.333065e-07	-1.372561e-06	
9.390025	-9.308271e-06	2.446707e-05	2.607705e-07	-2.080952e-06	
9.391025	-8.873494e-06	1.712885e-05	2.234500e-06	-2.445083e-06	
9.392026	-8.043513e-06	8.026464e-06	3.487764e-06	-1.425918e-06	
9.393026	-2.379600e-06	1.002947e-05	-8.287410e-07	7.066550e-07	
9.394026	2.179571e-07	1.040519e-05	-3.406715e-06	1.058367e-06	
9.395026	-3.089005e-06	3.185722e-06	-7.978964e-07	3.334420e-07	
9.396026	-3.438041e-06	-1.518175e-06	5.937788e-07	2.827851e-07	
9.397026	2.862474e-06	1.394350e-06	2.791396e-06	9.599883e-07	
9.398026	3.299938e-06	5.242836e-06	1.183558e-06	6.332466e-07	
9.399026	2.129834e-06	3.504754e-06	-4.033599e-06	3.904977e-07	
9.400026	1.030899e-05	1.145587e-08	-1.989100e-06	-1.805224e-07	
9.401026	1.151698e-05	-1.469093e-06	1.382916e-06	-1.124471e-06	
9.402026	6.032039e-06	-2.284667e-07	3.054724e-06	2.019036e-06	
9.403027	2.802486e-06	7.677041e-07	1.972447e-06	5.117286e-06	
9.404027	-1.453989e-05	-6.606792e-09	-3.781207e-06	5.261096e-06	
9.405027	-2.194425e-05	2.650646e-06	-4.136439e-06	5.081680e-06	
9.406027	3.332344e-07	2.045223e-06	-3.129099e-07	2.440303e-06	
9.407027	9.625905e-06	-5.263760e-06	1.278809e-06	-2.719308e-06	
9.408027	3.224872e-06	-5.764607e-06	1.267372e-06	-6.289875e-06	
9.409027	1.219358e-06	-5.430822e-06	3.910886e-07	-3.174427e-06	
9.410027	-2.715544e-06	-1.328975e-05	-1.644100e-06	-1.024270e-06	
9.411027	-4.903105e-06	-2.145634e-05	1.797753e-07	-5.378188e-06	
9.412027	-5.973071e-06	-2.913049e-05	7.555232e-06	-1.609759e-06	
9.413027	-4.112088e-06	-3.287259e-05	5.919641e-06	3.118082e-06	
9.414028	-4.218151e-06	-3.446257e-05	-8.308433e-07	-2.474269e-06	
9.415028	-1.065965e-05	-3.681945e-05	1.176555e-06	-2.300823e-06	
9.416028	1.529630e-06	-3.239643e-05	2.592129e-06	1.264776e-06	
9.417028	1.742693e-05	-3.368850e-05	-7.455576e-07	1.051278e-06	
9.418028	1.003341e-05	-4.196375e-05	-7.428044e-06	4.366600e-06	
9.419028	8.157983e-06	-4.419064e-05	-1.489609e-05	5.354472e-06	
9.420028	1.660721e-05	-4.464499e-05	-1.626424e-05	3.317062e-06	
9.421028	1.604355e-05	-4.249083e-05	-1.566817e-05	4.108914e-06	
9.422028	1.400993e-05	-4.147419e-05	-1.043968e-05	3.967540e-06	
9.423028	9.966229e-06	-2.673308e-05	-5.616098e-06	3.933735e-06	
9.424028	3.975499e-06	1.807199e-05	-1.947693e-06	6.255962e-06	
9.425029	4.910945e-06	5.851817e-05	2.197342e-05	3.976660e-06	
9.426029	6.655788e-06	8.154124e-05	3.434192e-05	-3.631082e-06	
9.427029	3.204095e-06	9.964596e-05	1.098322e-05	-5.320422e-06	
9.428029	-9.208147e-07	1.048725e-04	3.637783e-07	-3.221557e-06	
9.429029	-1.908020e-07	9.868648e-05	7.263046e-06	-5.430405e-06	
9.430029	-2.194470e-07	8.878162e-05	3.638694e-06	-6.489206e-06	
9.431029	-5.031733e-06	7.801290e-05	6.452541e-07	-4.941421e-06	
9.432029	-5.776821e-06	6.747247e-05	2.452601e-06	-3.562153e-06	
9.433029	-4.570228e-06	5.250075e-05	7.695132e-07	-4.041635e-06	
9.434029	-5.846102e-06	3.439737e-05	-6.541781e-07	-5.033420e-06	
9.435029	-6.103563e-06	1.960749e-05	-6.043118e-07	-1.469223e-06	
9.436030	-6.056934e-06	7.421080e-06	-2.203369e-06	1.497814e-06	
9.437030	-4.152956e-06	-5.636701e-06	-2.683898e-06	5.951180e-07	
9.438030	-4.182634e-06	-1.827533e-05	-1.187640e-07	2.208252e-06	
9.439030	-7.519301e-06	-2.693852e-05	-8.510896e-07	4.220473e-06	
9.440030	-6.952637e-06	-3.300883e-05	-3.537249e-06	2.763276e-06	
9.441030	-5.998049e-06	-3.907127e-05	-3.425893e-06	2.773670e-06	
9.442030	-4.277821e-06	-4.463503e-05	-4.459581e-06	5.053410e-06	
9.443030	4.476412e-08	-4.721592e-05	-3.558139e-06	8.084340e-06	
9.444030	6.499580e-07	-4.423277e-05	-3.222793e-06	7.821446e-06	
9.445030	1.102935e-06	-4.312531e-05	-6.832099e-06	2.905178e-07	
9.446030	3.585437e-06	-4.438945e-05	-4.882289e-06	-2.317561e-06	
9.447031	3.162397e-06	-4.018965e-05	-1.699133e-06	1.119937e-06	
9.448031	5.632866e-08	-4.269034e-05	-1.006299e-06	-3.021085e-06	
9.449031	-1.860890e-06	-4.769253e-05	-1.778025e-06	-7.874320e-06	
9.450031	-1.880195e-06	-3.337553e-05	-6.227957e-06	-4.710315e-06	
9.451031	-3.371059e-06	-2.262890e-05	-4.640999e-06	-4.847542e-06	
9.452031	-5.515865e-06	-2.313249e-05	-8.130484e-08	-8.945206e-06	
